"node","lagoon","station","season","date_time","hole1_ice_thickness_m","hole2_ice_thickness_m","hole3_ice_thickness_m","spot1_snow_depth_m","spot2_snow_depth_m","spot3_snow_depth_m","spot4_snow_depth_m","spot5_snow_depth_m","spot6_snow_depth_m","spot7_snow_depth_m","spot8_snow_depth_m","spot9_snow_depth_m","spot10_snow_depth_m","freeboard_m","notes","station_name","latitude","longitude","habitat_type","station_sampling_priority"
"Central","Simpson","SILD1","under ice","2019-04-21T12:21:00-08",1.32,NA,NA,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,NA,"Simpson Lagoon Deep Station 1",70.53706667,-149.77535,"lagoon","primary"
"Central","Simpson","SILD1","under ice","2021-04-23T12:20:00-08",1.71,NA,NA,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,"Simpson Lagoon Deep Station 1",70.53706667,-149.77535,"lagoon","primary"
"Central","Simpson","SILD1","under ice","2022-04-18T12:16:00-08",1.53,NA,NA,0.09,0.15,0.07,0.08,0.08,0.05,0.12,0.16,0.12,0.11,0.11,NA,"Simpson Lagoon Deep Station 1",70.53706667,-149.77535,"lagoon","primary"
"Central","Simpson","SILD1","under ice","2023-04-20T11:12:00-08",1.4,1.2,NA,0.04,0.09,0.08,0.37,0.41,0.16,0.26,0.17,0.25,0.13,0.08,NA,"Simpson Lagoon Deep Station 1",70.53706667,-149.77535,"lagoon","primary"
"Central","Simpson","SILD2","under ice","2023-04-23T12:51:00-08",1.3,NA,NA,0.1,0.1,0.11,0.11,0.15,0.06,0.14,0.08,0.17,0.15,0.05,NA,"Simpson Lagoon Deep Station 2",70.53988333,-149.4765833,"lagoon","secondary"
"Central","Stefansson","SSLD1","under ice","2019-04-20T11:29:00-08",1.57,NA,NA,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,NA,"Stefansson Sound Deep Station 1",70.37226667,-148.0239333,"lagoon","primary"
"Central","Stefansson","SSLD1","under ice","2021-04-21T12:18:00-08",1.8,1.9,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.29,NA,"Stefansson Sound Deep Station 1",70.37226667,-148.0239333,"lagoon","primary"
"Central","Stefansson","SSLD1","under ice","2022-04-16T14:00:00-08",1.8,NA,NA,0.21,0.29,0.16,0.25,0.42,0.28,0.47,0.2,0.24,0.28,0.17,NA,"Stefansson Sound Deep Station 1",70.37226667,-148.0239333,"lagoon","primary"
"Central","Stefansson","SSLD1","under ice","2023-04-18T13:18:00-08",1.5,NA,NA,0.3,0.27,0.25,0.12,0.1,0.15,0.09,0.11,0.22,0.21,0.05,NA,"Stefansson Sound Deep Station 1",70.37226667,-148.0239333,"lagoon","primary"
"Central","Stefansson","SSLD2","under ice","2019-04-19T13:20:00-08",1.57,NA,NA,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12,NA,"Stefansson Sound Deep Station 2",70.32078333,-147.75615,"lagoon","secondary"
